foodItem,path,image,skip_food.thisRepN,skip_food.thisTrialN,skip_food.thisN,skip_food.thisIndex,food_rating_loop.thisRepN,food_rating_loop.thisTrialN,food_rating_loop.thisN,food_rating_loop.thisIndex,start_food_rat_key.started,start_food_rat_text.started,start_food_rat_key.keys,start_food_rat_key.rt,foodImage.started,next_button.started,check_space_key.started,food_slider.response,food_slider.rt,next_button.numClicks,next_button.timesOn,next_button.timesOff,check_space_key.keys,check_space_key.rt,participant,group,extra,practice,rainbow,dorate,date,expName,psychopyVersion,frameRate,
Tribe humus pita.jpg,stimuli/food/,stimuli/food/Tribe humus pita.jpg,0,0,0,0,0,0,0,70,13.488309299980756,13.488309299980756,right,0.0934527000063099,13.654905099945609,14.987769999948796,14.987769999948796,7.495,1.3202148000127636,0,,,space,1.7639770999667235,666,food,0,1,BR,1,2023-07-17_14h45.03.245,crystals,2022.2.4,60.01006968952248,
granola w milk.jpg,stimuli/food/,stimuli/food/granola w milk.jpg,0,0,0,0,0,1,1,28,,,,,17.338219099969137,18.138125699944794,18.138125699944794,4.547499999999999,0.7831189999706112,0,,,space,0.07927360001485795,666,food,0,1,BR,1,2023-07-17_14h45.03.245,crystals,2022.2.4,60.01006968952248,
french fries.jpg,stimuli/food/,stimuli/food/french fries.jpg,0,0,0,0,0,2,2,25,,,,,18.804889999970328,19.53832729998976,19.53832729998976,5.45125,0.7168781000073068,0,,,space,0.378538099990692,666,food,0,1,BR,1,2023-07-17_14h45.03.245,crystals,2022.2.4,60.01006968952248,
Skim milk.jpg,stimuli/food/,stimuli/food/Skim milk.jpg,0,0,0,0,0,3,3,60,,,,,20.48771619994659,21.154851999948733,21.154851999948733,6.30625,0.6336002000025474,0,,,space,0.5727084999671206,666,food,0,1,BR,1,2023-07-17_14h45.03.245,crystals,2022.2.4,60.01006968952248,
raisin bran w milk.jpg,stimuli/food/,stimuli/food/raisin bran w milk.jpg,0,0,0,0,0,4,4,50,,,,,22.321835199953057,23.48816629999783,23.48816629999783,1.7125,1.1501455999678,0,,,space,0.45203799998853356,666,food,0,1,BR,1,2023-07-17_14h45.03.245,crystals,2022.2.4,60.01006968952248,
rigatoni and sauce.jpg,stimuli/food/,stimuli/food/rigatoni and sauce.jpg,0,0,0,0,0,5,5,54,,,,,24.521313099947292,25.555054199998267,25.555054199998267,3.16375,1.016162199957762,0,,,space,0.9228789000189863,666,food,0,1,BR,1,2023-07-17_14h45.03.245,crystals,2022.2.4,60.01006968952248,
kiwi.jpg,stimuli/food/,stimuli/food/kiwi.jpg,0,0,0,0,0,6,6,36,,,,,27.055440999974962,28.021450999949593,28.021450999949593,7.4575000000000005,0.948736899998039,0,,,space,0.38883239997085184,666,food,0,1,BR,1,2023-07-17_14h45.03.245,crystals,2022.2.4,60.01006968952248,
rice cakes.jpg,stimuli/food/,stimuli/food/rice cakes.jpg,0,0,0,0,0,7,7,53,,,,,29.004850399971474,29.671978099970147,29.671978099970147,8.8,0.6655195000348613,0,,,space,0.22758910001721233,666,food,0,1,BR,1,2023-07-17_14h45.03.245,crystals,2022.2.4,60.01006968952248,
,,,,,,,,,,,,,,,30.97378779994324,,,,,,,,,,,,,,,,,,,,
